"SourceFile","Artist","Title","XPSubject","Make","Model","Software"
"C:\temp\sample_tif\nieC04\031.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\032.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\033.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\034.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\035.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\036.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\037.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\038.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\039.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\040.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
"C:\temp\sample_tif\nieC04\041.tif","一橋大学経済研究所附属社会科学統計情報研究センター2","nieC04","国民所得推計研究会資料2"," "," "," "
